Road_ID,Length,Number_of_Bends,Traffic_Volume,Accident_Risk
1,5,1,100,High
2,6,2,110,Medium
3,7,5,120,Low
4,8,4,130,High
5,9,6,140,Medium
6,10,6,150,Low
7,11,1,160,High
8,12,2,170,Medium
9,13,3,180,Low
10,14,4,190,Medium
11,15,5,200,Medium
12,16,6,210,Low
13,17,2,220,High
14,18,2,230,Low
15,19,3,240,Low
16,20,4,250,High
17,21,2,260,Medium
18,22,6,270,Low
19,23,1,280,High
20,24,1,290,Medium
21,25,3,300,High
22,26,4,310,High
23,27,3,320,Medium
24,28,6,330,Low
25,29,1,340,High
26,30,2,350,Medium
27,31,3,360,Low
28,32,4,370,Low
29,33,5,380,Medium
30,34,6,390,Low
31,35,1,400,High
32,36,4,410,Medium
33,37,3,420,Low
34,38,4,430,High
35,39,5,440,Medium
36,40,6,450,Low
37,41,3,460,High
38,42,2,470,High
39,43,3,480,Low
40,44,4,490,High
41,45,5,500,Medium
42,46,6,510,Low
43,47,1,520,High
44,48,2,530,Low
45,49,3,540,Low
46,50,4,550,High
47,51,5,560,Medium
48,52,4,570,Low
49,53,1,580,Medium
50,54,3,590,Medium
